Абхазия;Abkhazia
Австралия;Australia
Австрия;Austria
Азербайджан;Azerbaijan
Албания;Albania
Алжир;Algeria
Ангола;Angola
Андорра;Andorra
Антигуа и Барбуда;Antigua and Barbuda
Аргентина;Argentina
Армения;Armenia
Афганистан;Afghanistan
Бангладеш;Bangladesh
Барбадос;Barbados
Бахрейн;Bahrain
Беларусь;Belarus
Белиз;Belize
Бельгия;Belgium
Бенин;Benin
Бермуды;Bermuda
Болгария;Bulgaria
Боливия;Bolivia
Босния и Герцеговина;Bosnia and Herzegovina
Ботсвана;Botswana
Бразилия;Brazil
Британские Виргинские о-ва;British Virgin Islands
Бруней;Brunei
Буркина Фасо;Burkina Faso
Бурунди;Burundi
Бутан;Bhutan
Вануату;Vanuatu
Великобритания;United Kingdom
Венгрия;Hungary
Венесуэла;Venezuela
Восточный Тимор;East Timor
Вьетнам;Vietnam
Габон;Gabon
Гаити;Haiti
Гайана;Guyana
Гамбия;Gambia
Гана;Ghana
Гваделупа;Guadeloupe
Гватемала;Guatemala
Гвинея;Guinea
Гвинея-Бисау;Guinea-Bissau
Германия;Germany
Гибралтар;Gibraltar
Гондурас;Honduras
Гонконг;Hong Kong
Гренада;Grenada
Гренландия;Greenland
Греция;Greece
Грузия;Georgia
Дания;Denmark
Джерси о-в;Jersey Island
Джибути;Djibouti
Доминиканская республика;Dominican Republic
Египет;Egypt
Замбия;Zambia
Западная Сахара;Western Sahara
Зимбабве;Zimbabwe
Ивуар;Ivoire
Израиль;Israel
Индия;India
Индонезия;Indonesia
Иордания;Jordan
Ирак;Iraq
Иран;Iran
Ирландия;Ireland
Исландия;Iceland
Испания;Spain
Италия;Italy
Йемен;Yemen
Кабо-Верде;Cape Verde
Казахстан;Kazakhstan
Камбоджа;Cambodia
Камерун;Cameroon
Канада;Canada
Катар;Qatar
Кения;Kenya
Кипр;Cyprus
Китай;China
Колумбия;Colombia
Конго (Brazzaville);Congo (Brazzaville)
Конго (Kinshasa);Congo (Kinshasa)
Коста-Рика;Costa Rica
Куба;Cuba
Кувейт;Kuwait
Кыргызстан;Kyrgyzstan
Лаос;Laos
Латвия;Latvia
Лесото;Lesotho
Либерия;Liberia
Ливан;Lebanon
Ливия;Libya
Литва;Lithuania
Лихтенштейн;Liechtenstein
Люксембург;Luxembourg
Маврикий;Mauritius
Мавритания;Mauritania
Мадагаскар;Madagascar
Македония;Macedonia
Малави;Malawi
Малайзия;Malaysia
Мали;Mali
Мальта;Malta
Марокко;Morocco
Мексика;Mexico
Мозамбик;Mozambique
Молдова;Moldova
Монако;Monaco
Монголия;Mongolia
Мьянма (Бирма);Myanmar (Burma)
Намибия;Namibia
Науру;Nauru
Непал;Nepal
Нигер;Niger
Нигерия;Nigeria
Нидерланды (Голландия);Netherlands (Holland)
Никарагуа;Nicaragua
Новая Зеландия;New Zealand
Новая Каледония о-в;New Caledonia Island
Норвегия;Norway
Норфолк о-в;Norfolk Island
Объединенные Арабские Эмираты (ОАЭ);United Arab Emirates UAE
Оман;Oman
Пакистан;Pakistan
Панама;Panama
Папуа Новая Гвинея;Papua New Guinea
Парагвай;Paraguay
Перу;Peru
Польша;Poland
Португалия;Portugal
Пуэрто Рико;Puerto Rico
Реюньон;Reunion
Россия;Russia
Руанда;Rwanda
Румыния;Romania
Сальвадор;El Salvador
Самоа;Samoa
Сан-Марино;San Marino
Саудовская Аравия;Saudi Arabia
Свазиленд;Swaziland
Святая Люсия;St Lucia
Северная Корея;North Korea
Сенегал;Senegal
Сент Китс и Невис;Saint Kitts and Nevis
Сент-Винсент и Гренадины;Saint Vincent and the Grenadines
Сербия;Serbia
Сингапур;Singapore
Сирия;Syria
Словакия;Slovakia
Словения;Slovenia
Соломоновы о-ва;Solomon Islands
Сомали;Somalia
Судан;Sudan
Суринам;Suriname
Соединенные Штаты Америки (США);United States of America (USA)
Сьерра-Леоне;Sierra Leone
Таджикистан;Tajikistan
Таиланд;Thailand
Тайвань;Taiwan
Танзания;Tanzania
Того;Togo
Тонга;Tonga
Тринидад и Тобаго;Trinidad and Tobago
Тувалу;Tuvalu
Тунис;Tunisia
Туркменистан;Turkmenistan
Туркс и Кейкос;Turks and Caicos
Турция;Turkey
Уганда;Uganda
Узбекистан;Uzbekistan
Украина;Ukraine
Уругвай;Uruguay
Фиджи;Fiji
Филиппины;Philippines
Финляндия;Finland
Франция;France
Французская Гвинея;French Guinea
Французская Полинезия;French Polynesia
Хорватия;Croatia
Чад;Chad
Черногория;Montenegro
Чехия;Czech Republic
Чили;Chile
Швейцария;Switzerland
Швеция;Sweden
Шри-Ланка;Sri Lanka
Эквадор;Ecuador
Экваториальная Гвинея;Equatorial Guinea
Эритрея;Eritrea
Эстония;Estonia
Эфиопия;Ethiopia
ЮАР;SOUTH AFRICA
Южная Корея;South Korea
Южная Осетия;South Ossetia
Ямайка;Jamaica
Япония;Japan
